Datetime,Discharge,Corresponding_known_discharge
1/6/2025 0:00,1.597203229,2.0
1/6/2025 0:10,2.260468285,2.0
1/6/2025 0:20,11.27516493,10.6
1/6/2025 0:30,13.44403064,13.4
1/6/2025 0:40,11.49950344,12.0
1/6/2025 0:50,9.056749663,9.0
1/6/2025 1:00,7.487550543,7.4
1/6/2025 1:10,7.236681563,7.4
1/6/2025 1:20,8.678300348,9.0
1/6/2025 1:30,8.433283677,9.0
1/6/2025 1:40,7.399765908,7.4
1/6/2025 1:50,6.321380436,5.5
1/6/2025 2:00,5.144286018,5.5
1/6/2025 2:10,4.839185642,4.2
1/6/2025 2:20,7.044335674,7.4
1/6/2025 2:30,7.270234802,7.4
1/6/2025 2:40,6.125133007,5.5
1/6/2025 2:50,4.7853444,4.2
1/6/2025 3:00,3.827906647,4.2
1/6/2025 3:10,4.001525147,4.2
1/6/2025 3:20,5.775164929,5.5
1/6/2025 3:30,6.327232745,5.5
1/6/2025 3:40,5.804816628,5.5
1/6/2025 3:50,5.595694119,5.5
1/6/2025 4:00,5.477867631,5.5
1/6/2025 4:10,5.396325459,5.5
1/6/2025 4:20,5.406469462,5.5
1/6/2025 4:30,5.830566787,5.5
1/6/2025 4:40,7.992019579,7.4
1/6/2025 4:50,9.578385472,9.0
1/6/2025 5:00,10.5182663,10.6
1/6/2025 5:10,9.666560261,9.0
1/6/2025 5:20,7.631907498,7.4
1/6/2025 5:30,8.999397035,9.0
1/6/2025 5:40,12.00202171,12.0
1/6/2025 5:50,16.43924239,15.3
1/6/2025 6:00,23.21504575,18.8
1/6/2025 6:10,20.3723842,18.8
1/6/2025 6:20,11.16943321,10.6
1/6/2025 6:30,10.45584167,10.6
1/6/2025 6:40,14.69330354,15.3
1/6/2025 6:50,22.36216926,18.8
1/6/2025 7:00,30.20231255,29.2
1/6/2025 7:10,24.56341775,29.2
1/6/2025 7:20,12.67854863,12.0
1/6/2025 7:30,9.728204583,9.0
1/6/2025 7:40,12.57944953,12.0
1/6/2025 7:50,18.16684401,18.8
1/6/2025 8:00,21.45623182,18.8
1/6/2025 8:10,19.35564304,18.8
1/6/2025 8:20,14.75494786,15.3
1/6/2025 8:30,14.42721856,15.3
1/6/2025 8:40,14.56338228,15.3
1/6/2025 8:50,13.44090941,13.4
1/6/2025 9:00,13.32737462,13.4
1/6/2025 9:10,12.15652266,12.0
1/6/2025 9:20,10.13591544,10.6
1/6/2025 9:30,8.86206285,9.0
1/6/2025 9:40,8.618606796,9.0
1/6/2025 9:50,8.642016032,9.0
1/6/2025 10:00,9.261190324,9.0
1/6/2025 10:10,11.08281904,10.6
1/6/2025 10:20,14.90398666,15.3
1/6/2025 10:30,15.9733986,15.3
1/6/2025 10:40,15.04756331,15.3
1/6/2025 10:50,12.62899908,12.0
1/6/2025 11:00,10.15314724,10.6
1/6/2025 11:10,8.659182805,9.0
1/6/2025 11:20,8.392902745,9.0
1/6/2025 11:30,8.375670947,9.0
1/6/2025 11:40,9.083475207,9.0
1/6/2025 11:50,10.78292072,10.6
1/6/2025 12:00,11.40098957,12.0
1/6/2025 12:10,11.12950746,10.6
1/6/2025 12:20,13.15180535,13.4
1/6/2025 12:30,11.41529522,12.0
1/6/2025 12:40,8.065823698,7.4
1/6/2025 12:50,5.37701284,5.5
1/6/2025 13:00,4.241014637,4.2
1/6/2025 13:10,3.648305786,4.2
1/6/2025 13:20,4.586625996,4.2
1/6/2025 13:30,5.887789364,5.5
1/6/2025 13:40,6.887558819,7.4
1/6/2025 13:50,7.421744579,7.4
1/6/2025 14:00,7.73874465,7.4
1/6/2025 14:10,9.066568537,9.0
1/6/2025 14:20,10.41194935,10.6
1/6/2025 14:30,10.87330638,10.6
1/6/2025 14:40,10.83201509,10.6
1/6/2025 14:50,10.9471105,10.6
1/6/2025 15:00,12.39978364,12.0
1/6/2025 15:10,12.50577546,12.0
1/6/2025 15:20,11.0966695,10.6
1/6/2025 15:30,11.257608,10.6
1/6/2025 15:40,12.28143695,12.0
1/6/2025 15:50,13.1742392,13.4
1/6/2025 16:00,13.4444208,13.4
1/6/2025 16:10,12.43977442,12.0
1/6/2025 16:20,11.1311331,10.6
1/6/2025 16:30,10.27279445,10.6
1/6/2025 16:40,9.976602587,10.6
1/6/2025 16:50,10.29035137,10.6
1/6/2025 17:00,10.65319453,10.6
1/6/2025 17:10,9.378366556,9.0
1/6/2025 17:20,6.650215176,7.4
1/6/2025 17:30,7.015334232,7.4
1/6/2025 17:40,9.241162422,9.0
1/6/2025 17:50,11.96346149,12.0
1/6/2025 18:00,15.35715046,15.3
1/6/2025 18:10,16.11665011,15.3
1/6/2025 18:20,15.37763354,15.3
1/6/2025 18:30,16.15306448,15.3
1/6/2025 18:40,17.19445036,18.8
1/6/2025 18:50,18.12301672,18.8
1/6/2025 19:00,17.7962628,18.8
1/6/2025 19:10,17.26500319,18.8
1/6/2025 19:20,17.43146887,18.8
1/6/2025 19:30,15.35129815,15.3
1/6/2025 19:40,12.70637961,13.4
1/6/2025 19:50,10.13136365,10.6
1/6/2025 20:00,8.540510983,9.0
1/6/2025 20:10,10.20224161,10.6
1/6/2025 20:20,15.64456386,15.3
1/6/2025 20:30,16.1498132,15.3
1/6/2025 20:40,14.7517616,15.3
1/6/2025 20:50,12.70345345,13.4
1/6/2025 21:00,10.07869287,10.6
1/6/2025 21:10,9.189141898,9.0
1/6/2025 21:20,12.07660613,12.0
1/6/2025 21:30,12.41051288,12.0
1/6/2025 21:40,10.78096995,10.6
1/6/2025 21:50,8.909856707,9.0
1/6/2025 22:00,8.148081152,7.4
1/6/2025 22:10,8.743716157,9.0
1/6/2025 22:20,11.70465938,12.0
1/6/2025 22:30,13.82709678,13.4
1/6/2025 22:40,12.72523705,13.4
1/6/2025 22:50,9.240837294,9.0
1/6/2025 23:00,5.934282708,5.5
1/6/2025 23:10,4.309616703,4.2
1/6/2025 23:20,6.814730084,7.4
1/6/2025 23:30,7.266333262,7.4
1/6/2025 23:40,5.31653898,5.5
1/6/2025 23:50,3.535486274,3.0
1/7/2025 0:00,2.874686103,3.0
1/7/2025 0:10,4.033257667,4.2
1/7/2025 0:20,8.729410513,9.0
1/7/2025 0:30,10.36968267,10.6
1/7/2025 0:40,9.738283559,9.0
1/7/2025 0:50,9.684312265,9.0
1/7/2025 1:00,8.721607434,9.0
1/7/2025 1:10,7.116449126,7.4
1/7/2025 1:20,7.765730297,7.4
1/7/2025 1:30,7.678921047,7.4
1/7/2025 1:40,6.341343312,5.5
1/7/2025 1:50,4.598980871,4.2
1/7/2025 2:00,2.804268515,3.0
1/7/2025 2:10,2.568508471,3.0
